"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cohort"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.28014390012852e-71,6.4007195006426e-70,2.21067315462802,0.828854877661288,3.11720573242278,198,"CD86;FCGR1A;PTPN6;VAMP8;FPR1;CSF2RB;HLA-DMA;CASP1;IRF5;IL10RA;LCP2;CD74;IRF8;HLA-DRB1;CD69;CIITA;FGL2;ST8SIA4;CASP4;HLA-DQA1;CD40;CASP8;PLSCR1;MX2;IL4R;NMI;B2M;C1R;LAP3;HLA-B;PSMB10;PARP14;EPSTI1;IL15RA;BST2;IL15;NLRC5;ICAM1;TNFAIP3;IRF1;SAMD9L;RTP4;APOL6;PSMB9;NOD1;CCL2;C1S;CD274;SOD2;PSMB8;CCL5;OAS2;VCAM1;HLA-A;IRF7;PARP12;SP110;PTPN2;ITGB7;NFKB1;GZMA;CXCL10;IFI44;OASL;IFIH1;IFI30;SECTM1;TRIM21;LGALS3BP;IL6;TNFAIP2;ZBP1;IL2RB;STAT3;UPP1;PLA2G4A;IDO1;RIPK1;NAMPT;GCH1;MVP;CASP7;SERPING1;SOCS3;SLAMF7;XCL1;ISG20;TNFSF10;STAT1;VAMP5;CFB;SAMHD1;MYD88;IFI35;IFI44L;CXCL9;MX1;GPR18;PIM1;CXCL11;LATS2;ISG15;TAP1;FAS;IFITM2;ZNFX1;RNF213;DDX60;SOCS1;IL18BP;PSME2;SPPL2A;WARS1;IRF2;PNP;IFITM3;CMKLR1;CFH;XAF1;IL7;GBP4;TNFAIP6;RSAD2;TAPBP;OAS3;CMPK2;IFNAR2;TDRD7;HERC6;CASP3;UBE2L6;TRIM14;CCL7;GBP6;STAT2;DHX58;PSME1;BATF2;HELZ2;BANK1;PTGS2;PSMB2;USP18;JAK2;SELP","TCGA-LGG+GBM"
"HALLMARK_ALLOGRAFT_REJECTION",3.52406977149891e-66,8.81017442874727e-65,2.12469591409249,0.808617241672587,3.04399504669473,200,"ITGB2;CD86;HLA-DMB;CTSS;CCR1;PTPN6;LY86;ITGAL;PTPRC;LYN;HCLS1;TLR2;CCR5;IL12RB1;IL18;GPR65;NCF4;IL16;HLA-DMA;FYB1;IGSF6;TLR6;HLA-DOA;TLR1;CD4;LCP2;HLA-DRA;SPI1;CD74;CAPG;IRF8;C2;ELF4;TLR3;NLRP3;SRGN;WAS;ST8SIA4;IL10;HLA-DQA1;CD40;CD7;HLA-E;IL4R;MAP4K1;GBP2;B2M;IFNGR2;PSMB10;STAB1;LY75;IL15;ICAM1;CD80;CCR2;CD2;CD96;CCL2;CCL5;TGFB1;LCK;CXCR3;SIT1;CD3D;HLA-A;IRF7;IFNGR1;ITK;GZMA;IL6;BCL10;CD3G;FCGR2B;IL2RB;TRAT1;CSF1;IL2RG;CD3E;CD40LG;CD1D;FLNA;PRF1;FGR;CD8B;TGFB2;STAT1;FASLG;CCL22;TIMP1;IL1B;LIF;CXCL9;CD28;IL2RA;TAP1;FAS;DYRK3;HLA-DOB;ICOSLG;SOCS1;WARS1;BCL3;CRTAM;IL7;LTB;GCNT1;BCAT1;RARS1;IL18RAP;TAPBP;ZAP70;NCR1;GZMB;IKBKB;CD247;IFNAR2;MMP9;KLRD1;IFNG;GALNT1;CCL7","TCGA-LGG+GBM"
"HALLMARK_INFLAMMATORY_RESPONSE",2.50318886921323e-56,4.17198144868871e-55,1.95728649762112,0.780068888896555,2.9350490834954,199,"PTAFR;C3AR1;CYBB;FPR1;PIK3R5;LYN;TLR2;IL18;CSF3R;CCRL2;IL10RA;CD14;OLR1;TLR1;GPR132;LCP2;TNFRSF1B;MSR1;P2RX4;GPR183;C5AR1;GNA15;CD69;TLR3;NLRP3;ADGRE1;IL10;PTGER4;CD40;IL4R;NMI;PLAUR;EBI3;IFNGR2;RGS1;IL15RA;PDPN;STAB1;BST2;CD48;IL15;ICAM1;RNF144B;IL1A;AXL;IRF1;RTP4;CCL20;CCL2;CCL5;LCK;SLAMF1;MMP14;ITGB3;IRF7;LAMP3;NFKB1;CXCL10;OSM;IL7R;IL6;CLEC5A;ITGA5;OSMR;IL2RB;CXCR6;NOD2;CSF1;RGS16;NAMPT;IRAK2;GCH1;AHR;GNAI3;EMP3;HAS2;KCNJ2;SERPINE1;FZD5;TNFSF10;HRH1;CCL22;TIMP1;IL1B;KLF6;PTGER2;SGMS2;LIF;CXCL9;CXCL11;TNFSF15;CHST2;CCR7;DCBLD2;TNFRSF9;ABCA1;ICOSLG;PTGIR;MEFV;F3;IL1R1;CD70;CMKLR1;SPHK1;FFAR2;SLC31A2;RHOG;AQP9;TNFAIP6;LPAR1;IL18RAP;TAPBP;APLNR;CCL7;SLC31A1;ITGB8;CXCL8;SCARF1;HBEGF;EREG;P2RY2;MEP1A","TCGA-LGG+GBM"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",7.81536260181387e-48,9.76920325226734e-47,1.80309397470897,0.750397992474607,2.82341081847895,199,"PLEK;TLR2;IL18;CCRL2;OLR1;KYNU;GPR183;CD69;BCL2A1;STAT5A;PTGER4;SAT1;MAP3K8;B4GALT1;CD44;PLAUR;TNFAIP8;IFNGR2;IL15RA;SERPINB8;PLAU;RELB;ICAM1;IL1A;TNFAIP3;CD80;IRF1;CCL20;CCL2;RNF19B;SOD2;CCL5;TGIF1;CLCF1;TNC;NFKB1;CXCL10;IFIH1;IL7R;CEBPD;IL6;TNFAIP2;ZC3H12A;IER3;CEBPB;LITAF;CSF1;FUT4;NINJ1;NAMPT;GCH1;GEM;F2RL1;SOCS3;SERPINE1;ATF3;TRIB1;IL1B;KLF6;LIF;CXCL11;TIPARP;RCAN1;CFLAR;TNIP1;BIRC3;PTX3;ZFP36;JUNB;FOSL1;TAP1;TNFRSF9;ABCA1;ICOSLG;PNRC1;JUN;REL;FOSL2;F3;BCL3;TANK;CD83;MAP2K3;GADD45A;SPHK1;SQSTM1;NFIL3;TRIP10;FOS;DUSP1;CCN1;NFKB2;SDC4;TNFAIP6;GFPT2;PPP1R15A;EFNA1;MCL1;JAG1;G0S2;PFKFB3;AREG;TRAF1;HBEGF;EGR2;GADD45B;IL23A;PTGS2;CXCL6;BTG3;TNF;CSF2;NFE2L2;BHLHE40;CXCL2;SPSB1;B4GALT5;DUSP5;CXCL3;BIRC2;CCL4;PHLDA2;NR4A3","TCGA-LGG+GBM"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",3.67588483417134e-39,3.67588483417134e-38,1.62807167569582,0.841997648627696,2.9798458733779,97,"CASP1;CCRL2;CD74;CASP8;PLSCR1;IL4R;LPAR6;PARP9;GBP2;NMI;B2M;LAP3;PARP14;EPSTI1;OAS1;UBA7;BST2;IL15;IRF1;SAMD9L;RTP4;PSMB9;C1S;PSMB8;SAMD9;HLA-C;IRF7;PARP12;SP110;LAMP3;CXCL10;IFI44;OASL;IFIH1;IFI30;TRIM21;LGALS3BP;CSF1;TMEM140;TENT5A;PROCR;ISG20;ELF1;MOV10;TRIM5;IFI35;IFI44L;MX1;CXCL11;ISG15;TAP1;IFITM2;DDX60;PSME2;WARS1;IRF2;IFITM3;IL7;GBP4;RSAD2;CMPK2;TDRD7;HERC6;UBE2L6;TRIM14;STAT2;DHX58;PSME1;BATF2;HELZ2;GMPR;IFITM1;USP18","TCGA-LGG+GBM"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2.10730828640043e-34,1.75609023866702e-33,1.52292160289117,0.691255826829227,2.60219446782341,200,"COL8A2;SPP1;CAPG;FUCA1;SAT1;CD44;PLAUR;GLIPR1;VIM;IL15;TNFAIP3;TGFB1;TNFRSF12A;VCAM1;MMP14;ITGB3;ECM2;TNC;COLGALT1;IL6;ITGB5;DAB2;ITGA5;PLOD1;FSTL1;GPX7;NNMT;GEM;SFRP4;WNT5A;TNFRSF11B;EMP3;PLOD2;FLNA;LOXL2;TGFBI;SERPINE1;SERPINH1;ITGB1;ITGA2;TIMP1;LOX;LGALS1;COL1A1;P3H1;PTX3;FN1;MXRA5;FAS;FAP;CALU;ADAM12;JUN;FBLN5;COL4A1;TPM4;COL4A2;GADD45A;COL3A1;LUM;WIPF1;COL1A2;COL6A2;PMP22;LAMC1;COL6A3;MGP;CCN1;SDC4;LRRC15;PLOD3;ITGAV;EFEMP2;FMOD;CALD1;CDH11;COL5A1;PCOLCE;TFPI2;FSTL3;AREG;PDLIM4;COL5A2;MMP2;NOTCH2;MATN2;THBS1;CXCL8;IGFBP2;BMP1;GADD45B;LOXL1;COMP;POSTN;LAMA2;GJA1;CD59;CTHRC1;TAGLN;ACTA2;CXCL6;CDH6;NID2;IL32;SNTB1;IGFBP3;SDC1;PPIB;MFAP5;MYLK;COL12A1;ELN;CXCL12;MMP1;ANPEP;MEST;MYL9;SNAI2;FBN1;IGFBP4;TGM2;CDH2;COL11A1;OXTR;MMP3;PRRX1;VEGFA;MSX1;PDGFRB;BGN;PMEPA1;DKK1;COL5A3;FERMT2","TCGA-LGG+GBM"
"HALLMARK_COMPLEMENT",2.80122642886547e-34,2.00087602061819e-33,1.52292160289117,0.690517402096536,2.59941470860876,200,"PLEK;C1QC;C3;CTSS;FCER1G;SERPINA1;C1QA;GNGT2;PIK3CG;PIK3R5;LYN;ITGAM;CTSC;CASP1;OLR1;LCP2;KYNU;APOBEC3G;CTSB;C2;CASP5;WAS;CASP4;PLSCR1;CASP10;APOBEC3F;PLAUR;C1R;CP;SH2B3;LAP3;APOC1;TNFAIP3;IRF1;ANG;PSMB9;C1S;CPM;CCL5;LCK;MMP14;IRF7;CTSL;GZMA;CPQ;S100A9;IL6;ANXA5;LGMN;PHEX;ADAM9;CEBPB;CTSH;PLA2G4A;LTF;CD40LG;GZMK;CASP7;GNAI3;SERPING1;PFN1;PRKCD;SERPINE1;PRSS36;PDGFB;TIMP1;CFB;PIM1;FN1;CTSD;GNB4;PLAT;F3;IRF2;GATA3;GCA;FDX1;COL4A2;CFH;LGALS3;DPP4;RHOG;PPP4C;LIPA;GZMB;CA2;DOCK4;CASP3;CR1;TFPI2;FCN1;CLU;ITIH1;S100A12;ERAP2;S100A13;C4BPB;CD59;GNAI2;L3MBTL4;JAK2;MMP8;HSPA5;CD36;LAMP2","TCGA-LGG+GBM"
"HALLMARK_IL2_STAT5_SIGNALING",5.64244195555071e-30,3.52652622221919e-29,1.42456271623384,0.672039194957641,2.52744417315334,198,"CD86;TLR7;GPR65;IL10RA;RHOH;TNFRSF1B;CTSZ;SPP1;CAPG;IRF8;P2RX4;BATF;CDCP1;FGL2;CYFIP1;SYNGR2;IL10;PLSCR1;SLC1A5;IL4R;MAP3K8;CD44;GALM;FAH;HK2;DHRS3;CD48;CISH;SWAP70;BATF3;CST7;EMP1;IFNGR1;TNFRSF8;PLIN2;ICOS;CXCL10;SERPINB6;IL2RB;NFKBIZ;CSF1;RGS16;AHR;XBP1;MYO1E;TWSG1;CTLA4;EOMES;TNFSF10;ENPP1;SNX9;KLF6;PTGER2;LIF;PIM1;CCR4;IL2RA;TNFRSF9;WLS;SOCS1;MYO1C;PRKCH;CD83;MUC1;PNP;IFITM3;CD79B;NRP1;NFIL3;GBP4;LTB;SOCS2;ITGAV;PLAGL1;IL1R2;CA2;MAPKAPK2;F2RL2;CASP3;LRRC8C;SMPDL3A;TRAF1;P4HA1;GADD45B;GLIPR2;SLC39A8;ANXA4;GSTO1;SELP;CDC6;TNFRSF4;ITGA6;CSF2;BHLHE40;COL6A1;IL18R1;NDRG1;IKZF2","TCGA-LGG+GBM"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",5.42756630033921e-26,3.01531461129956e-25,1.31888879607587,0.789241943799072,2.74107005425004,87,"CCR1;PIK3R5;TLR2;IL12RB1;CSF2RB;CSF3R;CSF2RA;CD14;TNFRSF1B;IL13RA1;A2M;LTBR;HMOX1;IL4R;MAP3K8;CD44;TNFRSF1A;IL17RA;EBI3;IFNGR2;IL15RA;IRF1;TGFB1;TNFRSF12A;ITGB3;IFNGR1;PTPN2;CXCL10;IL6;OSMR;STAT3;CSF1;IL2RG;SOCS3;STAT1;BAK1;IL1B;MYD88;CXCL9;PIM1;CXCL11;IL2RA;FAS;PLA2G2A;SOCS1;JUN;IL1R1;IL7;ITGA4;LTB;IL9R;IL1R2;CCL7;STAT2;TNF;CD36;CSF2;PTPN1;CD9;IL18R1;CXCL3","TCGA-LGG+GBM"
"HALLMARK_KRAS_SIGNALING_UP",1.33270471539707e-25,6.66352357698535e-25,1.31101476274061,0.642319511659312,2.41797640604601,200,"ITGB2;LAPTM5;LAT2;CTSS;C3AR1;FCER1G;DOCK2;LCP1;IKZF1;IL10RA;CSF2RA;TNFRSF1B;TLR8;SPP1;IRF8;PDCD1LG2;LY96;FUCA1;GYPC;CD37;GLRX;MAP4K1;PLAUR;CLEC4A;PLAU;TMEM176B;TNFAIP3;CXCR4;ST6GAL1;CCL20;PLVAP;PSMB8;EMP1;GPNMB;CXCL10;IL7R;TMEM176A;PECAM1;SERPINA3;IL2RG;RGS16;CROT;F2RL1;PRDM1;PLEK2;F13A1;PIGR;ITGA2;TRIB1;CFB;IL1B;LIF;BIRC3;DCBLD2;PLAT;ENG;TFPI;MAFB;CMKLR1;RETN;CFH;NRP1;FBXO4;GALNT3;EVI5;GFPT2;PPP1R15A;MMP11;ITGBL1;CA2;ADAMDEC1;MMP9;MMP10;TSPAN1;EPHB2;SLPI;G0S2;MPZL2;ATG10;MALL;TRAF1;HBEGF;SPRY2;SDCCAG8;EREG;HOXD11;KCNN4;PTGS2;MAP3K1;ADAM17","TCGA-LGG+GBM"
