"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cohort"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",6.74214528634368e-81,3.37107264317184e-79,2.35138729128213,0.861748139096915,3.12320052836911,198,"CD86;FCGR1A;PTPN6;IRF8;IRF5;VAMP8;HLA-DMA;FPR1;CD69;IL10RA;LCP2;HLA-DRB1;PSMB10;CSF2RB;CD74;CMKLR1;FGL2;HLA-DQA1;IL4R;CASP1;IL15;SAMHD1;CCL5;TNFSF10;C1S;RTP4;B2M;IL15RA;TRIM21;CASP4;MX2;ST8SIA4;CD40;GZMA;HLA-B;IL2RB;C1R;MVP;CCL2;PLSCR1;IFI35;GCH1;SLAMF7;EPSTI1;CASP8;PSMB8;CIITA;PSMB9;TNFAIP3;PTPN2;SP110;LAP3;SECTM1;IFITM2;FAS;LGALS3BP;IL6;SOD2;TAPBP;OAS2;OASL;TRIM14;NMI;IRF1;ZBP1;SERPING1;BST2;IFIT3;UBE2L6;NAMPT;HLA-A;IFITM3;VAMP5;IFIT2;UPP1;IRF2;NFKBIA;ICAM1;TNFAIP2;PSME1;APOL6;PSME2;WARS1;MARCHF1;ISG20;MYD88;IFI30;IDO1;CDKN1A;CXCL9;DHX58;CXCL10;HLA-G;XCL1;SOCS3;PIM1;NFKB1;ITGB7;PML;CD274;BANK1;CCL7;BATF2;PARP12;VCAM1;PARP14;STAT1;IFIH1;RSAD2;CMPK2;BTG1;STAT4;GBP4;MX1;CASP7;TAP1;CXCL11;IFI44;SAMD9L;LY6E;IRF7;HERC6;DDX60;JAK2;TDRD7;STAT3;MT2A;NLRC5;TRIM25;PTGS2;OAS3;RIPK1;NOD1;LYSMD2;PTPN1;IFNAR2;CFB;PLA2G4A;STAT2;RIPK2;IRF4;IFIT1;GBP6;PNP;TOR1B;IL18BP;ISG15;PELI1;IFI27;HIF1A;SOCS1;CFH;IFI44L;MTHFD2;SSPN;IL7;XAF1;PSMA3;ZNFX1;ARID5B;PSMB2;CD38;TXNIP;SPPL2A;ISOC1;LATS2;SLC25A28","TCGA-GBM"
"HALLMARK_ALLOGRAFT_REJECTION",1.32640316000623e-73,3.31600790001559e-72,2.24321898944966,0.843539716060332,3.05598172669351,200,"CD86;PTPN6;HLA-DMB;CTSS;ITGB2;CCR1;LY86;IRF8;GPR65;IL12RB1;IL18;CD4;NCF4;CCR5;HCLS1;FYB1;LYN;HLA-DMA;SRGN;WAS;TLR2;HLA-DOA;ITGAL;IL16;HLA-DRA;PTPRC;SPI1;LCP2;CAPG;PSMB10;NLRP3;CD74;IL10;TLR1;C2;IGSF6;HLA-DQA1;IL4R;CD1D;CD7;TLR6;IFNGR1;TLR3;HLA-E;IL15;FGR;CD2;CCL5;LY75;CD3G;CD96;MAP4K1;CD3D;B2M;CCR2;IL1B;ST8SIA4;CD40;GZMA;LCK;CD3E;TRAT1;CSF1;IL2RB;IL2RG;SIT1;CCL2;CRTAM;FASLG;ITK;TGFB1;GBP2;CCL4;PRF1;ELF4;FAS;FCGR2B;IL6;STAB1;TAPBP;IFNGR2;CXCR3;GZMB;CD80;LTB;TNF;CD8B;ICOSLG;HLA-A;CCL22;GCNT1;ICAM1;CD28;TIMP1;WARS1;HLA-DOB;CXCL9;HLA-G;CD247;IL2RA;CCL7;BCL3;STAT1;EREG;ABI1;CD8A;STAT4;CXCL13;CCL19;CSK;TAP1;TAP2;IRF7;PRKCB;JAK2;LIF;CD40LG;DEGS1;CD47;IL18RAP;IFNAR2;CCL13;NCR1;RIPK2;IRF4;TPD52;CCND3;KLRD1;CD79A;GALNT1;HIF1A;UBE2D1;SOCS1;IL27RA;ZAP70;NCK1;IL7;INHBA;THY1;DYRK3","TCGA-GBM"
"HALLMARK_INFLAMMATORY_RESPONSE",1.14705482221715e-70,1.91175803702858e-69,2.19657732659723,0.836140192692002,3.02909094685903,199,"C3AR1;PTAFR;CCRL2;MSR1;IL18;LYN;CSF3R;FPR1;TLR2;OLR1;EBI3;CD14;TNFRSF1B;CD69;ADGRE1;IL10RA;GPR132;PIK3R5;CYBB;LCP2;NLRP3;GNA15;CMKLR1;IL10;SELL;TLR1;GPR183;IL4R;RGS1;P2RX4;C5AR1;CD48;TLR3;IL15;CCL5;TNFSF10;SLAMF1;CD55;PTGER4;RTP4;IL15RA;PLAUR;IL1B;CD40;NOD2;LCK;OSM;CSF1;IL7R;RNF144B;IL2RB;AXL;IL1A;CCL2;RHOG;AQP9;GCH1;CCR7;IL1R1;IL6;STAB1;TAPBP;IFNGR2;NMI;IRF1;TNFSF9;PTGER2;BST2;SLC31A2;NAMPT;ICOSLG;CCL22;NFKBIA;ICAM1;APLNR;CHST2;TIMP1;TNFRSF9;CD70;IFITM1;CCL20;MEP1A;CDKN1A;CXCL9;CXCL10;IL18R1;SPHK1;NFKB1;BTG2;LAMP3;MARCO;CCL7;SEMA4D;EREG;SCN1B;TNFSF15;ABI1;CXCL6;KCNJ2;HBEGF;CLEC5A;HPN;BEST1;SERPINE1;HRH1;ITGA5;CXCL11;MEFV;KLF6;FFAR2;LY6E;IRF7;SGMS2;AHR;OSMR;MET;LIF;PDPN;SLC31A1;P2RY2;RGS16;IFNAR1;PTPRE;CSF3;IL18RAP;LPAR1;RIPK2;EMP3;DCBLD2;SELE;CXCL8;IRAK2;BDKRB1;NDP;SLC11A2;ITGB3;SCARF1;MMP14;TPBG;ATP2C1;HIF1A;PTGIR;INHBA;CXCR6;GPC3","TCGA-GBM"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.44480740331196e-62,3.05600925413995e-61,2.06037118005055,0.81558403071529,2.95462199453495,199,"PLEK;CCRL2;IL18;TLR2;OLR1;CD69;BCL2A1;KYNU;GPR183;MAP3K8;NINJ1;SAT1;CCL5;B4GALT1;TNFAIP8;PTGER4;IL15RA;PLAUR;IL1B;IER3;CSF1;IL7R;IL1A;CCL2;STAT5A;ETS2;CD83;CEBPB;SGK1;GCH1;TNFAIP3;DUSP1;CCL4;SQSTM1;SERPINB8;CD44;IL6;ZFP36;DRAM1;SOD2;IFNGR2;IRF1;JUNB;TNFSF9;RELB;CD80;TNF;PLAU;NAMPT;ICOSLG;LITAF;IFIT2;RNF19B;NFKBIA;GFPT2;ICAM1;BIRC3;CXCL2;CEBPD;TNFAIP2;TNFRSF9;NFKBIE;CCL20;CDKN1A;CXCL10;CLCF1;SPHK1;SOCS3;NFKB1;TIPARP;BTG2;DUSP2;FOS;BCL3;EGR2;ZC3H12A;IFIH1;CXCL6;BTG1;NFKB2;PFKFB3;FOSL2;HBEGF;KLF2;SERPINE1;TAP1;NFE2L2;CXCL11;TNIP1;KLF6;EGR3;RCAN1;PNRC1;PTX3;GEM;SPSB1;G0S2;BHLHE40;GADD45B;KLF4;TRIB1;LIF;CFLAR;CXCL1;MAP2K3;IL6ST;FOSL1;SDC4;PTGS2;PTPRE;IL23A;EGR1;NR4A3;CXCL3;SERPINB2;RIPK2;AREG;ATF3;TRAF1;MSC;MCL1;TANK;LAMB3;CCN1;FUT4;EIF1;INHBA;TNIP2;EFNA1;SLC2A3;TNC;IER2;ID2;JUN;NR4A2;IL12B;NFIL3;DNAJB4;BCL6;IER5;F3;RHOB;PPP1R15A;MXD1;ABCA1;CSF2;F2RL1;FOSB;SLC16A6;ACKR3;GADD45A;KLF10;REL;B4GALT5;MAFF;PHLDA2;RELA;TGIF1;TRIP10;PMEPA1","TCGA-GBM"
"HALLMARK_COMPLEMENT",6.83172704551013e-53,6.83172704551013e-52,1.89820520560154,0.78879197244744,2.85764120890486,200,"CTSS;C1QC;PLEK;C1QA;GNGT2;SERPINA1;LYN;WAS;C3;FCER1G;OLR1;CTSC;PIK3CG;PIK3R5;LCP2;APOC1;ITGAM;KYNU;CTSB;C2;CASP5;CTSH;LGMN;CASP1;CASP10;CTSL;PRKCD;APOBEC3G;CTSD;LIPA;CCL5;C1S;CD55;PLAUR;CASP4;CPM;GZMA;S100A9;LCK;C1R;GRB2;RHOG;PLSCR1;CD59;CEBPB;CP;PSMB9;TNFAIP3;LAP3;CPQ;SH2B3;PRSS36;GCA;APOBEC3F;IL6;IRF1;GZMB;GZMK;SERPING1;LAMP2;C4BPB;IRF2;CTSO;TIMP1;ATOX1;PLA2G7;PFN1;PIM1;GNAI2;PDGFB;CLU;ANG;CR1;FCN1;SPOCK2;LTF;CASP7;SERPINE1;LGALS3;F8;ADAM9;IRF7;TFPI2;CSRP1;STX4;JAK2;HSPA5;CD40LG;CXCL1;LTA4H;ME1;MSRB1;ERAP2;CFB;CA2;S100A12;SERPINB2;PLA2G4A;F5;FN1;GNB4;GATA3;MMP14;DPP4;FDX1;CFH;DOCK10;DOCK4;CD46;TIMP2;ADRA2B;CR2;CD36","TCGA-GBM"
"HALLMARK_IL2_STAT5_SIGNALING",4.94729179343391e-43,4.12274316119492e-42,1.70874828719195,0.755097347418538,2.73667017940896,198,"CD86;IRF8;GPR65;TLR7;BATF;SYNGR2;TNFRSF1B;SPP1;IL10RA;CAPG;CTSZ;FGL2;IL10;SELL;RHOH;MAP3K8;IL4R;P2RX4;CD48;IFNGR1;FAH;TNFSF10;TNFRSF8;CDCP1;CST7;DHRS3;CYFIP1;CSF1;IL2RB;ICOS;SMPDL3A;CD83;ANXA4;PLSCR1;GSTO1;CTLA4;GALM;TGM2;CD44;PTGER2;LTB;SLC39A8;IFITM3;LRRC8C;CCR4;TNFRSF9;PRKCH;NFKBIZ;EOMES;SWAP70;CXCL10;SNX9;IL18R1;PLAGL1;PIM1;SERPINB6;FURIN;MAPKAPK2;CD81;IL2RA;NRP1;SLC1A5;TWSG1;ITGAV;PLIN2;GBP4;APLP1;PLPP1;RNH1;MUC1;KLF6;CDC42SE2;BHLHE40;XBP1;AHR;GADD45B;PRNP;BCL2L1;LIF;ECM1;RGS16;CA2;IRF4;NDRG1;CCND3;AMACR;HK2;MYO1C;IL1R2;MYO1E;PNP;TRAF1;EMP1;SOCS1;TNFRSF18;PRAF2;GABARAPL1;GPX4;S100A1;CD79B;TNFSF11;ENPP1;SLC2A3;F2RL2;CISH;NFIL3;BATF3;CKAP4;IRF6;RHOB;MXD1;CSF2;ITGA6;PLEC;TIAM1;ST3GAL4;MAFF;P4HA1;TNFRSF21;ALCAM;ITGAE;SCN9A;BMP2;TTC39B;CDKN1C;DRC1;ABCB1;BCL2;CAPN3;GUCY1B1","TCGA-GBM"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2.62321487377958e-39,1.87372490984256e-38,1.63441895776255,0.741350662372856,2.68577049088408,200,"SPP1;CAPG;FUCA1;SAT1;IL15;DAB2;PLAUR;GLIPR1;COL8A2;CD59;TGFB1;TNFAIP3;TGM2;CD44;FAS;WIPF1;IL6;IL32;ITGB5;TIMP1;CXCL12;GREM1;WNT5A;NNMT;TNFRSF11B;DKK1;TGFBI;VCAM1;CXCL6;EDIL3;ITGAV;APLP1;MYLK;LUM;SERPINE1;COLGALT1;ITGA5;PTX3;MYL9;GEM;MFAP5;TFPI2;COL1A1;ITGB1;GADD45B;LGALS1;IGFBP4;FAP;SPARC;ABI3BP;ACTA2;MXRA5;CXCL1;ECM1;ECM2;SDC4;ANPEP;FOXC2;VIM;HTRA1;MGP;PRRX1;FBLN5;PMP22;AREG;EMP3;FN1;COL1A2;LOX;LRRC15;SNAI2;CXCL8;COL6A3;COL3A1;TAGLN;BGN;ITGB3;DCN;MMP14;QSOX1;CALD1;CCN1;VEGFC;PDLIM4;THBS1;EFEMP2;INHBA;SCG2;PLOD2;SPOCK1;THY1;TPM4;TNFRSF12A;FSTL1;FMOD;PPIB;TNC;ID2;SLIT3;MMP1;JUN;ADAM12;SDC1;CALU;FBLN1;PLOD3;PLOD1;CCN2;PCOLCE;LOXL1;GJA1;LOXL2;COL5A1;FSTL3;DPYSL3;RHOB;TPM1;TPM2;FGF2;MMP3;BASP1;SERPINH1;RGS4;SFRP4;P3H1;COL6A2;GADD45A;BMP1;GPC1;FBLN2;CAP2;MSX1;PMEPA1;IGFBP3;FLNA;SGCB;ITGA2;PTHLH;CTHRC1;PFN2;CDH11;SLIT2;COL5A2;CADM1;COL12A1;FZD8;OXTR;PCOLCE2;SLC6A8;COMP;MMP2;POSTN","TCGA-GBM"
"HALLMARK_KRAS_SIGNALING_UP",1.19927085929491e-38,7.49544287059317e-38,1.61530228892975,0.738335739746493,2.67484800759356,200,"C3AR1;LAT2;CTSS;LAPTM5;ITGB2;IRF8;IKZF1;CSF2RA;LCP1;FCER1G;TNFRSF1B;SPP1;IL10RA;TLR8;ST6GAL1;CMKLR1;DOCK2;CD37;LY96;MAFB;FUCA1;GLRX;PDCD1LG2;MAP4K1;CLEC4A;GYPC;PLAUR;IL1B;IL7R;IL2RG;CXCR4;EPB41L3;GPNMB;PSMB8;TNFAIP3;PRDM1;PECAM1;TMEM176B;PLAU;MMD;ENG;F13A1;GFPT2;BIRC3;PLEK2;HSD11B1;CCL20;TMEM176A;CXCL10;SLPI;RBP4;NRP1;RETN;PIGR;ANKH;EREG;SCN1B;VWA5A;HBEGF;CROT;MAP7;TSPAN1;BTC;G0S2;KCNN4;KLF4;PLVAP;ALDH1A3;TRIB1;LIF;SERPINA3;ADAM8;ADAMDEC1;PTGS2;RGS16;PRRX1;CFB;CA2;DCBLD2;TRAF1;ALDH1A2;EMP1;CFH;HKDC1;SEMA3B;MMP10;IL1RL2;MALL;IL33;INHBA;GUCY1A1;MPZL2;APOD;ID2;ITGBL1;MMP9;FBXO4;TSPAN13;MTMR10;ACE;PPP1R15A;ADGRL4;CSF2;F2RL1;NGF;ERO1A;MMP11;ATG10;ANGPTL4;TMEM158;SCG5;PCP4;SDCCAG8;IGFBP3;ETV5;BMP2;TFPI;JUP;GNG11;ABCB1;ITGA2;ADGRA2;PPBP;NAP1L2;CPE","TCGA-GBM"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.45499273825322e-38,8.08329299029566e-38,1.61530228892975,0.854155627233926,2.94545303953633,97,"CCRL2;CD74;SELL;IL4R;CASP1;IL15;C1S;RTP4;B2M;TRIM21;CSF1;PROCR;PLSCR1;IFI35;PARP9;LPAR6;EPSTI1;CASP8;PSMB8;HLA-C;PSMB9;GBP2;SP110;LAP3;UBA7;IFITM2;LGALS3BP;OASL;TRIM14;NMI;IRF1;OAS1;BST2;IFIT3;UBE2L6;ELF1;IFITM3;IFIT2;IRF2;PSME1;PSME2;WARS1;IFITM1;TMEM140;ISG20;IFI30;DHX58;CXCL10;LAMP3;BATF2;PARP12;PARP14;SAMD9;IFIH1;RSAD2;CMPK2;GBP4;MX1;TAP1;CXCL11;IFI44;NCOA7;SAMD9L;LY6E;IRF7;HERC6;DDX60;TDRD7;TRIM25;CD47;TRIM5;STAT2;RIPK2;ISG15;IFI27;NUB1;IFI44L;IL7;GMPR;CNP;PSMA3;TXNIP","TCGA-GBM"
"HALLMARK_APOPTOSIS",4.22429860786875e-36,2.11214930393438e-35,1.56318197862453,0.756049363703303,2.70451894980344,161,"IL18;PLCB2;CD14;CD69;GNA15;GPX1;CASP1;SAT1;IFNGR1;CD2;TNFSF10;CASP4;IL1B;IER3;GSN;IL1A;HMOX1;FASLG;GCH1;CASP8;BMF;SQSTM1;TSPO;PRF1;CD44;DPYD;FAS;IL6;SOD2;IRF1;TNF;PPT1;IFITM3;BIRC3;IGFBP6;TIMP1;ISG20;CDKN1A;PAK1;BTG2;BCAP31;CLU;ANKH;EREG;ANXA1;LUM;CASP7;TAP1;HSPB1;BAX;LGALS3;EGR3;SMAD7;DAP;CYLD;GADD45B;BCL2L1;RNASEL;ETF1;CASP6;GPX3;CFLAR;RETSAT;DAP3;HGF;ATF3;BGN;DCN;LEF1;EMP1;MCL1;TIMP2;FDXR;APP;GPX4;GUCY2D;GSR;TNFRSF12A;SLC20A1;SOD1;CTNNB1;CAV1;KRT18;JUN;PDCD4;CD38;TXNIP;PMAIP1;MGMT;PPP3R1;BID;AVPR1A;BCL10;RHOB;DNAJC3;H1-0;GADD45A;NEFH;CASP9;PEA15;PSEN1;RELA","TCGA-GBM"
