"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cohort"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",4.10564198182504e-55,2.05282099091252e-53,1.93601101252223,0.819036625456903,2.69505242677917,198,"CD86;PTPN6;FCGR1A;IRF5;VAMP8;CASP1;FPR1;CSF2RB;IL10RA;IRF8;LCP2;HLA-DMA;CD74;CIITA;CASP4;CD40;HLA-DRB1;ST8SIA4;CASP8;CD69;NMI;FGL2;PLSCR1;PARP14;BST2;NLRC5;PSMB10;MX2;IL15RA;NOD1;LAP3;B2M;VCAM1;IL18BP;SAMD9L;IL4R;HLA-B;HLA-DQA1;C1R;IFI44L;IFIH1;ICAM1;CD274;RTP4;EPSTI1;IRF7;IRF2;TNFAIP3;NFKB1;APOL6;SP110;VAMP5;PSMB2;IFI44;IRF1;PSMB9;TNFAIP2;STAT3;ZBP1;CCL2;PARP12;LGALS3BP;TDRD7;OAS2;HLA-A;IFITM2;RIPK1;PTPN2;ITGB7;PSMB8;RNF213;IFI30;PLA2G4A;ZNFX1;IL15;SOD2;CCL5;MYD88;CASP7;IL6;OASL;CXCL10;UBE2L6;SERPING1;C1S;SECTM1;RIPK2;MVP;GCH1;PSME2;GPR18;SPPL2A;GZMA;PSME1;ISG15;TAPBP;IDO1;STAT1;JAK2;SAMHD1;UPP1;IFITM3;TRIM21;XCL1;MX1;IFI35;PIM1;IL2RB;GBP4;IFIT2;PNP;DDX60;LATS2;CFB;NAMPT;HLA-G;HERC6;CXCL11;SOCS1;IFIT3;CXCL9;TNFSF10;SLAMF7;BPGM;PSMA3;SOCS3;CMKLR1;TAP1;MT2A;CASP3;WARS1;RAPGEF6;SSPN;ISG20;TRIM14;RSAD2;TRAFD1;HELZ2;HIF1A;IRF4;XAF1;CFH;IFNAR2;DHX58;IL7;SELP;CD38;USP18;PML;GBP6;STAT2;OAS3;PTPN1;CMPK2;TNFAIP6;BATF2;IRF9;FAS","TCGA-LGG"
"HALLMARK_ALLOGRAFT_REJECTION",1.89893496515021e-46,4.74733741287553e-45,1.77414997679975,0.791906058942626,2.60908535035694,200,"ITGB2;CD86;LY86;SPI1;PTPN6;IL12RB1;HCLS1;HLA-DMB;ITGAL;IL18;CD4;CCR1;WAS;CTSS;TLR6;FYB1;IGSF6;PTPRC;IL16;TLR2;LYN;TLR1;GPR65;NCF4;CCR5;IRF8;ELF4;LCP2;HLA-DMA;NLRP3;TGFB1;CD74;MAP4K1;HLA-DOA;TLR3;HLA-E;CD7;CAPG;C2;HLA-DRA;LY75;CD40;ST8SIA4;CSF1;GBP2;IFNGR1;PSMB10;IL10;B2M;BCL10;SRGN;CCL22;IL4R;STAB1;IFNGR2;HLA-DQA1;ICAM1;IRF7;IL2RG;CD80;CCL2;HLA-A;FLNA;CXCR3;CSK;IL15;CCR2;CCL5;CD2;IL6;CD96;SIT1;LCK;CD3E;CD3D;IKBKB;GALNT1;RIPK2;TGFB2;CD40LG;GZMA;BCL3;TAPBP;FCGR2B;RPS19;STAT1;JAK2;ITK;CD79A;LTB;HLA-DOB;IL1B;IL2RB;CD3G;TAP2;TRAT1;FGR;ICOSLG;CD8B;CD1D;HLA-G;SOCS1;TNF;CXCL9;BRCA1;PRF1;LIF;TAP1;DEGS1;WARS1;RARS1;DYRK3;FASLG;CD28;TIMP1;IFNG;BCAT1;CCL4;NCR1;RPS9;TRAF2;KLRD1;IL2RA;F2R;HIF1A;IRF4;IL18RAP;EIF5A;IFNAR2;ZAP70;IL7;INHBB;NCK1;EIF3J;EIF4G3;CD247;GLMN;FAS","TCGA-LGG"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.25511978794574e-38,2.0918663132429e-37,1.61530228892975,0.764160227645012,2.51719597513561,199,"PLEK;IL18;OLR1;TLR2;B4GALT1;CCRL2;STAT5A;KYNU;GPR183;CD69;CSF1;PTGER4;CD44;RELB;PLAUR;IL15RA;BCL2A1;TGIF1;NINJ1;SAT1;IFNGR2;CEBPB;PLAU;IFIH1;CCL20;ICAM1;FUT4;TNC;LITAF;RNF19B;SERPINB8;IL1A;TNFAIP3;F2RL1;NFKB1;TNFAIP8;MAP3K8;CD80;TNIP1;IRF1;KLF6;TNFAIP2;CCL2;CEBPD;GEM;NFKB2;ZC3H12A;ZFP36;PNRC1;TRIB1;SOD2;CCL5;CLCF1;PFKFB3;JUN;IER3;IL6;CXCL10;RIPK2;ABCA1;TRIP10;GCH1;TANK;BCL3;IL7R;CFLAR;PLPP3;REL;ATF3;CCN1;MCL1;NFE2L2;NFIL3;GADD45A;GFPT2;FOSL1;TIPARP;CD83;BTG3;IL1B;EFNA1;JUNB;FOS;IFIT2;SDC4;DNAJB4;ICOSLG;MAP2K3;SERPINE1;NAMPT;EGR2;CXCL11;YRDC;SPSB1;TNF;TNIP2;F3;RCAN1;SOCS3;BIRC2;LIF;TAP1;PPP1R15A;BIRC3;ACKR3;JAG1;GADD45B;SQSTM1;EGR1;TRAF1;PTX3;FOSL2;B4GALT5;TNFRSF9;CCL4;SPHK1;IER2;DUSP1;BCL6;HBEGF;CXCL2;ETS2;PMEPA1;IRS2;HES1;IL6ST;TNFAIP6;IL23A;CXCL3;NR4A3","TCGA-LGG"
"HALLMARK_INFLAMMATORY_RESPONSE",1.22677701322447e-35,1.53347126653059e-34,1.54987806027287,0.751106949918629,2.47419758688339,199,"C3AR1;PIK3R5;PTAFR;CYBB;IL18;CSF3R;FPR1;EBI3;OLR1;TNFRSF1B;TLR2;LYN;TLR1;IL10RA;MSR1;LCP2;GPR132;NLRP3;CD14;CCRL2;P2RX4;TLR3;C5AR1;GPR183;GNA15;PDPN;RHOG;CD40;CD69;NMI;CSF1;AXL;BST2;PTGER4;IL10;PLAUR;IL15RA;GNAI3;CCL22;MMP14;IL4R;STAB1;IFNGR2;ADGRE1;CCL20;ICAM1;RGS1;RTP4;IL1A;IRF7;ITGB3;NFKB1;LAMP3;IRF1;KLF6;RNF144B;CCL2;MEP1A;CLEC5A;CD48;HAS2;ITGA5;IL15;CXCR6;CCL5;FZD5;AHR;OSMR;IL6;IRAK2;LCK;RGS16;CXCL10;OSM;KCNJ2;RIPK2;ABCA1;GCH1;SLAMF1;TAPBP;IL7R;EMP3;NOD2;LPAR1;DCBLD2;IL1B;IL2RB;NDP;ICOSLG;SERPINE1;NAMPT;CXCL11;APLNR;CHST2;HRH1;F3;PTGER2;CXCL9;FFAR2;SGMS2;TNFSF10;ITGB8;PTGIR;TNFSF15;LIF;CMKLR1;SCARF1;TIMP1;CCR7;IL1R1;TNFRSF9;SPHK1;CCL17;IFITM1;MEFV;PSEN1;HIF1A;SEMA4D;IL18RAP;SLC31A2;HBEGF;SELENOS","TCGA-LGG"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",2.64391511763533e-28,2.64391511763533e-27,1.38026491759359,0.830820291588713,2.58558595479705,97,"CASP1;CCRL2;CD74;LPAR6;CASP8;NMI;CSF1;PLSCR1;UBA7;PARP14;GBP2;BST2;PARP9;LAP3;B2M;OAS1;SAMD9L;IL4R;IFI44L;IFIH1;RTP4;EPSTI1;MOV10;IRF7;IRF2;SP110;SAMD9;HLA-C;LAMP3;IFI44;IRF1;PSMB9;PARP12;LGALS3BP;TDRD7;ELF1;IFITM2;TENT5A;PSMB8;IFI30;IL15;OASL;CXCL10;UBE2L6;C1S;TMEM140;RIPK2;PSME2;PSME1;ISG15;NUB1;TRIM5;IFITM3;TRIM21;MX1;IFI35;GBP4;IFIT2;PROCR;DDX60;GMPR;HERC6;CXCL11;IFIT3;PSMA3;TAP1;WARS1;ISG20;TRIM14;RSAD2;IFITM1;TRAFD1;HELZ2;DHX58;IL7;USP18;STAT2;CMPK2;BATF2;IRF9;EIF2AK2;ADAR","TCGA-LGG"
"HALLMARK_IL2_STAT5_SIGNALING",4.45913125194382e-26,3.71594270995318e-25,1.32671609800481,0.699901963691197,2.30303801701322,198,"CD86;TLR7;TNFRSF1B;GPR65;SLC1A5;IL10RA;CTSZ;RHOH;IRF8;CDCP1;P2RX4;CYFIP1;CAPG;SYNGR2;SPP1;HK2;BATF;FGL2;CSF1;PLSCR1;GALM;CISH;IFNGR1;DHRS3;CD44;IL10;WLS;BATF3;SERPINB6;IL4R;FAH;EMP1;SWAP70;MAP3K8;TNFRSF8;MUC1;PLIN2;KLF6;CD48;MYO1E;MAPKAPK2;AHR;SNX9;RGS16;CXCL10;ICOS;CST7;GLIPR2;LRRC8C;BCL2L1;TWSG1;XBP1;NFKBIZ;ENPP1;SOCS2;PRKCH;CTLA4;IFITM3;NFIL3;LTB;PIM1;CD83;MYO1C;PLAGL1;IL2RB;GBP4;EOMES;PNP;PDCD2L;SOCS1;AHNAK;IKZF2;PTGER2;TNFSF10;ITGA6;LIF;CD79B;CASP3;GADD45B;P4HA1;TRAF1;ITGAV;CCR4;PRAF2;TNFRSF9;PLEC;NDRG1;IL2RA;IRF4;ANXA4;PLPP1;FLT3LG;ITGAE;SELP;IRF6;BCL2;CA2;GSTO1;CD81;COL6A1;TIAM1;SMPDL3A;NRP1;CKAP4;IL1R2;FURIN;TNFRSF4;PUS1;NCOA3;ETFBKMT;CDC6;F2RL2;CCNE1","TCGA-LGG"
"HALLMARK_COMPLEMENT",1.22720095914166e-25,8.76572113672613e-25,1.31101476274061,0.695901877284086,2.29278128738165,200,"FCER1G;C3;PIK3R5;C1QC;ITGAM;PLEK;GNGT2;WAS;PIK3CG;CTSS;CASP1;SERPINA1;OLR1;CTSC;LYN;C1QA;LCP2;APOBEC3G;KYNU;CTSB;CASP4;C2;RHOG;CASP5;PRKCD;PLSCR1;APOBEC3F;PLAUR;SH2B3;LAP3;GNAI3;CASP10;MMP14;PHEX;C1R;CP;PFN1;CEBPB;ANG;ANXA5;PDGFB;GNAI2;IRF7;IRF2;TNFAIP3;CTSH;IRF1;APOC1;LGMN;PSMB9;CPM;FDX1;ADAM9;PLA2G4A;CCL5;CPQ;CASP7;IL6;PLA2G7;GNB4;LCK;SERPING1;C1S;PPP4C;CTSL;CLU;LTF;CD40LG;GZMA;GCA;GATA3;JAK2;GNB2;S100A9;GRB2;GZMK;CTSD;LIPA;PIM1;PRSS36;ATOX1;CFB;SERPINE1;LAMP2;F3;MSRB1;PLAT;DOCK10;HSPA5;COL4A2;FN1;CASP3;DOCK4;TMPRSS6;LTA4H;CD59;TIMP1;HSPA1A;PSEN1;RNF4;L3MBTL4;PRCP;CFH;ERAP2;STX4","TCGA-LGG"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.21713622703769e-21,7.60710141898556e-21,1.20397524075264,0.669435269746353,2.20558200759264,200,"COL8A2;TGFB1;CAPG;SPP1;FUCA1;VIM;CD44;PLAUR;VCAM1;SAT1;MMP14;ECM2;ITGB5;DAB2;TNFRSF12A;GLIPR1;WIPF1;PLOD1;TNC;GPX7;TNFAIP3;ITGB3;COLGALT1;GEM;PLOD2;FLNA;WNT5A;SFRP4;ITGA5;IL15;JUN;IL6;FSTL1;LOXL2;ITGA2;MATN2;GJA1;P3H1;NOTCH2;SERPINH1;CXCL12;EMP3;PMP22;CCN1;NNMT;SNTB1;GADD45A;LOX;SDC4;TGFBI;SERPINE1;ITGB1;TNFRSF11B;FBLN5;ABI3BP;PLOD3;COL11A1;LGALS1;FAP;PPIB;CDH11;TGFBR3;COL1A1;COL4A1;COL4A2;FN1;FERMT2;TPM4;FGF2;GADD45B;MMP2;CALU;MSX1;CD59;TIMP1;ITGAV;PTX3;FSTL3;LAMC1;MXRA5;BMP1;CALD1;COMP;COL6A2;ADAM12;TIMP3;PRRX1;FBN2;MGP;PCOLCE;COL3A1;PMEPA1;MFAP5;COL1A2;LUM;FAS;COL6A3;ELN;CDH2;LRRC15;EFEMP2;FMOD;TFPI2;SPARC;INHBA;GAS1;MYLK;COPA;VEGFC;IL32;LRP1;COL5A1;CCN2;CXCL6;IGFBP2;COL5A3;DPYSL3;MYL9;VCAN;OXTR;TGM2;PTHLH;CXCL8;AREG;CDH6;BGN;FZD8;ID2;IGFBP3;PDLIM4","TCGA-LGG"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1.85994355330999e-20,1.03330197406111e-19,1.16906996676109,0.792524500022669,2.45498588570792,87,"PIK3R5;IL12RB1;CSF2RA;CCR1;CSF3R;CSF2RB;EBI3;TNFRSF1B;TLR2;IL13RA1;TGFB1;CD14;LTBR;HMOX1;A2M;CSF1;IL17RA;IFNGR1;TNFRSF1A;CD44;IL15RA;IL4R;IFNGR2;TNFRSF12A;ITGB3;IL2RG;MAP3K8;IRF1;STAT3;PTPN2;MYD88;OSMR;JUN;IL6;CXCL10;STAT1;GRB2;BAK1;LTB;PIM1;IL1B;CD9;CXCL11;SOCS1;TNF;CXCL9;SOCS3;IL1R1;IL2RA;PLA2G2A;PTPN11;TYK2;CBL;IL7;CD38;IL9R;IL6ST;IL10RB;STAT2;PTPN1;IRF9;FAS;CXCL3","TCGA-LGG"
"HALLMARK_APOPTOSIS",4.3691607931807e-18,2.18458039659035e-17,1.0959292864312,0.680410767742364,2.21048812114804,161,"IL18;CASP1;PLCB2;CD14;GPX1;HMOX1;CASP4;GNA15;CASP8;CD69;IFNGR1;CD44;TSPO;BCL10;PPT1;SAT1;CASP6;EMP1;DAP;HGF;GSN;TNFRSF12A;IL1A;DPYD;IRF1;ANXA1;BAX;SOD2;CD2;CASP7;JUN;IER3;IL6;DFFA;CDK2;BCL2L1;CLU;TGFB2;GCH1;BMF;CFLAR;ATF3;ROCK1;MCL1;IFITM3;RETSAT;GADD45A;DNAJC3;BTG3;IL1B;ETF1;CAV1;MGMT;TNF;BRCA1;TNFSF10;PLAT;PRF1;GSR;TGFBR3;TAP1;BIK;BIRC3;DAP3;CASP3;GADD45B;MMP2;SQSTM1;FASLG;ISG20;TIMP1;LMNA;CTNNB1;CYLD;HSPB1;WEE1;PSEN1;TIMP3;F2R;RNASEL;GUCY2D;BCAP31;HMGB2;CD38;CTH;NEDD9;LUM;FAS;BCL2L11;TIMP2;RELA;CASP2;LGALS3;TXNIP;PDCD4;CASP9;PTK2;BTG2;TOP2A","TCGA-LGG"
