"gene","rho_LGG","p_value_LGG","FDR_LGG","n_LGG","rho_GBM","p_value_GBM","FDR_GBM","n_GBM","delta_rho_LGG_minus_GBM","abs_delta_rho"
"H2BC12",0.603386825869998,1.73537506245175e-52,1.04848206045949e-50,516,-0.17689899860386,0.00277487150345662,0.014616928764687,284,0.780285824473859,0.780285824473859
"H2BC11",0.488401056244162,2.7464614200094e-32,7.52791616097772e-31,516,-0.259978468542331,9.06018787758945e-06,0.000114532701904649,284,0.748379524786493,0.748379524786493
"H2AC11",0.461169345155133,1.5509817109949e-28,3.57035484253515e-27,516,-0.286230606626555,9.32444449368816e-07,1.48397542154867e-05,284,0.747399951781688,0.747399951781688
"CRTAC1",-0.530521897187255,8.47866271418203e-39,3.13460821588257e-37,516,0.206736569687794,0.000453908262282239,0.00340015507895912,284,-0.737258466875048,0.737258466875048
"NFIA",0.560731683654266,4.59848062953778e-44,2.08988551281753e-42,516,-0.154040553531342,0.00932169868585682,0.0373709398373476,284,0.714772237185608,0.714772237185608
"GNG12-AS1",0.587173320347006,3.87854101238498e-49,2.076802467589e-47,516,-0.122100129136358,0.0397543007165093,0.110932313456701,284,0.709273449483364,0.709273449483364
"PTPRN",-0.484632464258395,9.51238628150245e-32,2.55279911367389e-30,516,0.219430175997402,0.000193680933650276,0.00166470724465541,284,-0.704062640255797,0.704062640255797
"MT-CO3",-0.478686206104355,6.54704948626454e-31,1.70045688518883e-29,516,0.22328593094741,0.000148060951781068,0.00132180885851252,284,-0.701972137051766,0.701972137051766
"C17orf102",-0.471322773949051,6.77578804572977e-30,1.68251007688493e-28,516,0.225674282315941,0.000125075610044527,0.00114867500481604,284,-0.696997056264992,0.696997056264992
"SLC5A9",0.583882185975122,1.76067724655058e-48,9.21801838136136e-47,516,-0.112584654067096,0.0580961804716062,0.146602080408819,284,0.696466840042218,0.696466840042218
"SNCA",-0.256329158494439,3.4725324469127e-09,2.17142827605209e-08,516,0.438601555398974,8.81077738535329e-15,3.99421908136016e-13,284,-0.694930713893413,0.694930713893413
"LPO",-0.467466052101349,2.25312586596092e-29,5.39785128473276e-28,516,0.225916473135792,0.000122941753891751,0.0011314542375325,284,-0.693382525237141,0.693382525237141
"TNNT1",-0.594226385898323,1.42906622632528e-50,8.06487314598817e-49,516,0.0980294391643916,0.0992073188311916,0.216372056816251,284,-0.692255825062714,0.692255825062714
"SLC7A14",-0.502697907745281,2.13757622848301e-34,6.45052450444624e-33,516,0.186674095282477,0.00157858773205253,0.00937717402212351,284,-0.689372003027758,0.689372003027758
"MT-CO1",-0.448279832462581,7.11620324627103e-27,1.50958106490836e-25,516,0.239080905368982,4.69167084151486e-05,0.000488036786822392,284,-0.687360737831563,0.687360737831563
"ASPHD1",-0.507557943175605,3.89099374628982e-35,1.22318379366532e-33,516,0.177742444999175,0.00264595294334171,0.0140866178462594,284,-0.68530038817478,0.68530038817478
"SEMA6B",-0.482331961113164,2.01535679237582e-31,5.35007145479804e-30,516,0.202913295282201,0.000580999734224513,0.00418135135742931,284,-0.685245256395365,0.685245256395365
"SCLT1",0.425629506180002,4.03256759516687e-24,7.3794550054607e-23,516,-0.258737397417797,1.00300136468793e-05,0.000124685374108418,284,0.684366903597799,0.684366903597799
"FLVCR2",0.00964606907563713,0.826969243744676,0.889817709155645,516,0.691231562707096,1.12207980172662e-41,2.17706459278345e-39,284,-0.681585493631459,0.681585493631459
"GABRA3",-0.552207919060979,1.59590440891048e-42,6.83504442484926e-41,516,0.125640524932817,0.0343119131287191,0.0994627320147582,284,-0.677848443993796,0.677848443993796
"SEZ6L2",-0.561995878273623,2.69362060454811e-44,1.24521539747567e-42,516,0.115825621386867,0.0511896120077565,0.13351197758382,284,-0.67782149966049,0.67782149966049
"CHGB",-0.624120316205882,4.63555815975864e-57,3.17800140780249e-55,516,0.0535703714569358,0.368413874497982,0.537959874663746,284,-0.677690687662818,0.677690687662818
"CEND1",-0.583614121093351,1.99005057134227e-48,1.03900135698425e-46,516,0.0940311760838417,0.113841937144335,0.238402948603151,284,-0.677645297177192,0.677645297177192
"BARD1",0.449430470327688,5.09069885692297e-27,1.09055240472672e-25,516,-0.225227429295879,0.000129104097398625,0.00117862690363209,284,0.674657899623567,0.674657899623567
"DEFB131E",-0.559009753110466,9.4927994603755e-44,4.26278008200376e-42,516,0.115232056773581,0.0524007111168168,0.135879014075118,284,-0.674241809884047,0.674241809884047
