"cohort","cell_type","rho","p_value","n","FDR"
"TCGA-GBM","myeloid cell",0.767960440771802,1.6900883014843e-56,284,4.22522075371075e-55
"TCGA-GBM","monocyte",0.713533647486556,1.7692771272567e-45,284,2.21159640907087e-44
"TCGA-GBM","macrophage",0.711783365246341,3.6246999755142e-45,284,3.0205833129285e-44
"TCGA-GBM","alternatively activated macrophage",0.675876647274385,2.97199184033155e-39,284,1.85749490020722e-38
"TCGA-GBM","neutrophil",0.631967680744209,4.52600039144546e-33,284,2.26300019572273e-32
"TCGA-GBM","Non plasma B cell",0.621790491848961,8.91101611992601e-32,284,3.71292338330251e-31
"TCGA-GBM","B cell",0.618849786581591,2.06584954400658e-31,284,7.3780340857378e-31
"TCGA-GBM","natural killer cell",0.578541885495603,9.02800744905949e-27,284,2.82125232783109e-26
"TCGA-GBM","CD4-positive, alpha-beta T cell",0.567371721495048,1.35161554185041e-25,284,3.75448761625115e-25
"TCGA-GBM","inflammatory macrophage",0.566589045150576,1.62755756999091e-25,284,4.06889392497727e-25
"TCGA-GBM","CD8+ T cell PD1 low",0.535664226541517,1.71760291708805e-22,284,3.90364299338193e-22
"TCGA-GBM","T cell",0.533548473283443,2.69502435015212e-22,284,5.61463406281691e-22
"TCGA-GBM","helper T cell",0.522089127661637,2.9286136841443e-21,284,5.63194939258519e-21
"TCGA-GBM","CD8-positive, alpha-beta T cell",0.49947669467857,2.51048269621969e-19,284,4.48300481467802e-19
"TCGA-GBM","T-helper 2 cell",0.38135136710722,2.90427980778762e-11,284,4.84046634631271e-11
"TCGA-GBM","gamma-delta T cell",0.361305109786059,3.49142206500132e-10,284,5.45534697656456e-10
"TCGA-GBM","CD8+ T cell PD1 high",0.360291696343211,3.94134596271129e-10,284,5.79609700398719e-10
"TCGA-GBM","regulatory T cell",0.326923691550156,1.69188892100306e-08,284,2.34984572361536e-08
"TCGA-GBM","fibroblast",0.302041075059014,2.11039825390632e-07,284,2.77683980777147e-07
"TCGA-GBM","T-helper 1 cell",0.264963708230413,5.9906255037055e-06,284,7.48828187963188e-06
"TCGA-GBM","T-helper 17 cell",0.26084220857581,8.43855928078385e-06,284,1.00459039056951e-05
"TCGA-GBM","endothelial cell",0.215199903396556,0.000258672915220017,284,0.000293946494568201
"TCGA-GBM","plasma cell",0.198123134603401,0.000786656882865199,284,0.000855061829201303
"TCGA-GBM","malignant cell",0.171648151883217,0.00371412821990438,284,0.00386888356240039
"TCGA-GBM","T follicular helper cell",-0.0663423821616634,0.265142408260215,284,0.265142408260215
