"cohort","cell_type","rho","p_value","n","FDR"
"TCGA-LGG","myeloid cell",0.929526840202226,7.60006077892977e-225,516,1.90001519473244e-223
"TCGA-LGG","macrophage",0.869646751248841,1.08432176740043e-159,516,1.35540220925053e-158
"TCGA-LGG","monocyte",0.859677690861382,4.66301447612968e-152,516,3.88584539677474e-151
"TCGA-LGG","alternatively activated macrophage",0.838332522597731,1.56850522245804e-137,516,9.80315764036275e-137
"TCGA-LGG","neutrophil",0.743059529695296,1.04409573175805e-91,516,5.22047865879026e-91
"TCGA-LGG","inflammatory macrophage",0.712434738908141,4.23404091918896e-81,516,1.76418371632873e-80
"TCGA-LGG","B cell",0.585453223937334,8.57015168231902e-49,516,3.06076845797108e-48
"TCGA-LGG","Non plasma B cell",0.569041313442926,1.31026101160595e-45,516,4.0945656612686e-45
"TCGA-LGG","natural killer cell",0.560612577670234,4.83556258627349e-44,516,1.34321182952041e-43
"TCGA-LGG","CD8+ T cell PD1 low",0.495182090684066,2.82449545717799e-33,516,7.06123864294499e-33
"TCGA-LGG","CD8+ T cell PD1 high",0.489104411541385,2.17438154326286e-32,516,4.94177623468831e-32
"TCGA-LGG","CD8-positive, alpha-beta T cell",0.39554890329588,8.99337543212329e-21,516,1.87361988169235e-20
"TCGA-LGG","fibroblast",0.392692085519294,1.79703057916351e-20,516,3.4558280368529e-20
"TCGA-LGG","malignant cell",0.355069673660655,8.89631213562157e-17,516,1.58862716707528e-16
"TCGA-LGG","T cell",0.333752708951261,6.83938370411236e-15,516,1.13989728401873e-14
"TCGA-LGG","gamma-delta T cell",0.294771942263096,8.36952866836881e-12,516,1.30773885443263e-11
"TCGA-LGG","endothelial cell",0.278590793885059,1.18713855114011e-10,516,1.74579198697075e-10
"TCGA-LGG","CD4-positive, alpha-beta T cell",0.221746031666313,3.61158320651411e-07,516,5.01608778682516e-07
"TCGA-LGG","plasma cell",0.131673864295343,0.00272776238845526,516,0.00324733617673245
"TCGA-LGG","helper T cell",0.0758057622633522,0.0853823299221048,516,0.0970253749114827
"TCGA-LGG","T-helper 1 cell",0.0223117116331413,0.613096428905316,516,0.638642113443037
"TCGA-LGG","T follicular helper cell",0.0029219130826064,0.947208819715868,516,0.947208819715868
"TCGA-LGG","regulatory T cell",-0.0628648608535194,0.153879128086445,516,0.167259921833092
"TCGA-LGG","T-helper 17 cell",-0.132977248463996,0.00247166217755592,516,0.0030895777219449
"TCGA-LGG","T-helper 2 cell",-0.153298516880155,0.000474943108100061,516,0.000624925142236923
